[ 00:27:34.506 -->  00:27:34.658] LD SPEAKER_01
[ 00:27:34.658 -->  00:27:41.678] LE SPEAKER_02
[ 00:27:41.678 -->  00:27:49.913] LF SPEAKER_01
[ 00:27:50.875 -->  00:27:55.853] LG SPEAKER_01
[ 00:27:56.460 -->  00:27:57.389] LH SPEAKER_02
[ 00:27:57.574 -->  00:28:03.008] LI SPEAKER_02
[ 00:28:03.548 -->  00:28:17.217] LJ SPEAKER_02
[ 00:28:19.208 -->  00:28:31.611] LK SPEAKER_02
[ 00:28:31.695 -->  00:28:34.176] LL SPEAKER_01
[ 00:28:34.986 -->  00:28:36.690] LM SPEAKER_01
[ 00:28:36.910 -->  00:28:41.483] LN SPEAKER_01
[ 00:28:42.242 -->  00:28:43.710] LO SPEAKER_01
[ 00:28:43.997 -->  00:28:49.802] LP SPEAKER_01
[ 00:28:50.258 -->  00:28:51.321] LQ SPEAKER_01
[ 00:28:51.726 -->  00:28:56.384] LR SPEAKER_01
[ 00:28:56.552 -->  00:28:58.155] LS SPEAKER_01
[ 00:28:58.493 -->  00:29:06.795] LT SPEAKER_01
[ 00:29:07.251 -->  00:29:11.605] LU SPEAKER_01
[ 00:29:12.280 -->  00:29:16.617] LV SPEAKER_01
[ 00:29:17.089 -->  00:29:19.148] LW SPEAKER_01
[ 00:29:19.469 -->  00:29:19.485] LX SPEAKER_01
[ 00:29:19.485 -->  00:29:21.156] LY SPEAKER_02
[ 00:29:21.477 -->  00:29:26.016] LZ SPEAKER_02
[ 00:29:26.370 -->  00:29:30.944] MA SPEAKER_02
[ 00:29:31.112 -->  00:29:39.870] MB SPEAKER_01
[ 00:29:40.562 -->  00:29:47.481] MC SPEAKER_01
[ 00:29:48.240 -->  00:29:51.750] MD SPEAKER_01
[ 00:29:52.037 -->  00:30:08.929] ME SPEAKER_01
[ 00:30:09.587 -->  00:30:14.903] MF SPEAKER_01
[ 00:30:15.443 -->  00:30:22.750] MG SPEAKER_01
[ 00:30:23.104 -->  00:30:27.120] MH SPEAKER_01
[ 00:30:27.306 -->  00:30:29.955] MI SPEAKER_01
[ 00:30:30.276 -->  00:30:31.086] MJ SPEAKER_01
[ 00:30:31.474 -->  00:30:41.059] MK SPEAKER_01
[ 00:30:41.987 -->  00:30:55.049] ML SPEAKER_01
[ 00:30:55.437 -->  00:30:56.061] MM SPEAKER_01
[ 00:30:57.310 -->  00:31:00.854] MN SPEAKER_01
[ 00:31:01.292 -->  00:31:04.229] MO SPEAKER_01
[ 00:31:04.836 -->  00:31:09.645] MP SPEAKER_01
[ 00:31:10.034 -->  00:31:11.029] MQ SPEAKER_01
[ 00:31:11.637 -->  00:31:15.501] MR SPEAKER_01
[ 00:31:15.822 -->  00:31:23.027] MS SPEAKER_01
[ 00:31:23.382 -->  00:31:25.896] MT SPEAKER_02
[ 00:31:26.774 -->  00:31:28.461] MU SPEAKER_02
[ 00:31:28.495 -->  00:31:33.743] MV SPEAKER_02
[ 00:31:34.806 -->  00:31:52.795] MW SPEAKER_02
[ 00:31:53.504 -->  00:31:59.224] MX SPEAKER_02
[ 00:32:00.085 -->  00:32:11.054] MY SPEAKER_02
[ 00:32:11.813 -->  00:32:17.247] MZ SPEAKER_02
[ 00:32:17.871 -->  00:32:34.088] NA SPEAKER_02
[ 00:32:35.269 -->  00:32:45.242] NB SPEAKER_02
[ 00:32:45.242 -->  00:33:00.177] NC SPEAKER_01
[ 00:33:00.734 -->  00:33:02.016] ND SPEAKER_01
[ 00:33:02.573 -->  00:33:03.332] NE SPEAKER_01
[ 00:33:03.754 -->  00:33:04.227] NF SPEAKER_01
[ 00:33:04.986 -->  00:33:11.247] NG SPEAKER_01
[ 00:33:11.905 -->  00:33:13.339] NH SPEAKER_01
[ 00:33:13.778 -->  00:33:18.807] NI SPEAKER_01
[ 00:33:19.043 -->  00:33:19.650] NJ SPEAKER_01
[ 00:33:20.140 -->  00:33:21.827] NK SPEAKER_01
[ 00:33:22.469 -->  00:33:23.616] NL SPEAKER_01
[ 00:33:24.207 -->  00:33:25.270] NM SPEAKER_01
[ 00:33:25.793 -->  00:33:37.757] NN SPEAKER_01
[ 00:33:38.061 -->  00:33:43.967] NO SPEAKER_01
[ 00:33:44.220 -->  00:33:46.532] NP SPEAKER_01
[ 00:33:46.937 -->  00:33:49.722] NQ SPEAKER_01
[ 00:33:49.958 -->  00:33:52.793] NR SPEAKER_01
[ 00:33:53.350 -->  00:33:56.219] NS SPEAKER_01
[ 00:33:56.337 -->  00:33:58.834] NT SPEAKER_01
[ 00:33:59.273 -->  00:34:01.129] NU SPEAKER_01
[ 00:34:01.315 -->  00:34:02.766] NV SPEAKER_02
[ 00:34:05.179 -->  00:34:10.174] NW SPEAKER_02
[ 00:34:10.934 -->  00:34:12.807] NX SPEAKER_02
[ 00:34:13.043 -->  00:34:15.507] NY SPEAKER_01
[ 00:34:15.524 -->  00:34:18.325] NZ SPEAKER_02
[ 00:34:16.536 -->  00:34:17.211] OA SPEAKER_01
[ 00:34:18.561 -->  00:34:20.924] OB SPEAKER_01
[ 00:34:21.362 -->  00:34:23.944] OC SPEAKER_01
[ 00:34:24.450 -->  00:34:26.290] OD SPEAKER_01
[ 00:34:26.610 -->  00:34:38.946] OE SPEAKER_02
[ 00:34:39.064 -->  00:34:40.515] OF SPEAKER_01
[ 00:34:41.005 -->  00:34:44.852] OG SPEAKER_01
[ 00:34:45.325 -->  00:34:53.155] OH SPEAKER_01
