[ 00:40:36.342 -->  00:40:37.995] ON SPEAKER_02
[ 00:40:38.265 -->  00:40:41.117] OO SPEAKER_02
[ 00:40:41.522 -->  00:40:43.345] OP SPEAKER_02
[ 00:40:43.564 -->  00:40:45.353] OQ SPEAKER_02
[ 00:40:45.927 -->  00:40:48.610] OR SPEAKER_02
[ 00:40:49.200 -->  00:40:54.820] OS SPEAKER_02
[ 00:40:55.275 -->  00:40:57.098] OT SPEAKER_02
[ 00:40:57.368 -->  00:41:01.030] OU SPEAKER_02
[ 00:41:01.553 -->  00:41:03.072] OV SPEAKER_02
[ 00:41:03.426 -->  00:41:04.675] OW SPEAKER_02
[ 00:41:05.046 -->  00:41:06.295] OX SPEAKER_02
[ 00:41:06.970 -->  00:41:09.754] OY SPEAKER_02
[ 00:41:10.227 -->  00:41:17.331] OZ SPEAKER_02
[ 00:41:17.685 -->  00:41:23.777] PA SPEAKER_02
[ 00:41:24.402 -->  00:41:32.181] PB SPEAKER_02
[ 00:41:32.620 -->  00:41:39.944] PC SPEAKER_02
[ 00:41:40.551 -->  00:41:43.521] PD SPEAKER_02
[ 00:41:43.909 -->  00:41:47.824] PE SPEAKER_02
[ 00:41:48.465 -->  00:41:49.461] PF SPEAKER_02
[ 00:41:49.596 -->  00:41:51.520] PG SPEAKER_02
[ 00:41:52.195 -->  00:42:07.534] PH SPEAKER_02
[ 00:42:07.889 -->  00:42:10.740] PI SPEAKER_02
[ 00:42:11.247 -->  00:42:28.493] PJ SPEAKER_01
[ 00:42:29.050 -->  00:42:52.557] PK SPEAKER_01
