[ 00:21:05.014 -->  00:21:05.993] NX SPEAKER_02
[ 00:21:06.550 -->  00:21:10.667] NY SPEAKER_02
[ 00:21:11.140 -->  00:21:15.055] NZ SPEAKER_02
[ 00:21:15.122 -->  00:21:19.020] OA SPEAKER_02
[ 00:21:19.274 -->  00:21:21.822] OB SPEAKER_02
[ 00:21:22.210 -->  00:21:24.758] OC SPEAKER_02
[ 00:21:25.332 -->  00:21:27.559] OD SPEAKER_02
[ 00:21:27.981 -->  00:21:29.483] OE SPEAKER_02
[ 00:21:29.972 -->  00:21:32.723] OF SPEAKER_02
[ 00:21:33.162 -->  00:21:37.431] OG SPEAKER_02
[ 00:21:37.532 -->  00:21:38.899] OH SPEAKER_02
[ 00:21:39.422 -->  00:21:40.182] OI SPEAKER_02
[ 00:21:40.570 -->  00:21:40.975] OJ SPEAKER_02
[ 00:21:41.549 -->  00:21:42.949] OK SPEAKER_02
[ 00:21:43.219 -->  00:21:44.805] OL SPEAKER_02
[ 00:21:45.160 -->  00:21:48.974] OM SPEAKER_02
[ 00:21:49.328 -->  00:21:52.230] ON SPEAKER_02
[ 00:21:52.568 -->  00:21:54.559] OO SPEAKER_02
[ 00:21:55.032 -->  00:21:57.057] OP SPEAKER_02
[ 00:21:57.377 -->  00:22:00.263] OQ SPEAKER_02
[ 00:22:00.803 -->  00:22:06.389] OR SPEAKER_02
[ 00:22:01.107 -->  00:22:01.579] OS SPEAKER_01
[ 00:22:06.557 -->  00:22:08.515] OT SPEAKER_02
[ 00:22:07.890 -->  00:22:10.607] OU SPEAKER_01
[ 00:22:10.793 -->  00:22:10.810] OV SPEAKER_01
[ 00:22:10.827 -->  00:22:11.114] OW SPEAKER_01
[ 00:22:11.451 -->  00:22:12.531] OX SPEAKER_01
[ 00:22:13.240 -->  00:22:16.412] OY SPEAKER_01
[ 00:22:17.003 -->  00:22:26.183] OZ SPEAKER_01
[ 00:22:26.790 -->  00:22:30.739] PA SPEAKER_01
[ 00:22:30.739 -->  00:22:31.448] PB SPEAKER_02
[ 00:22:31.448 -->  00:22:38.046] PC SPEAKER_01
[ 00:22:31.971 -->  00:22:32.612] PD SPEAKER_02
[ 00:22:38.046 -->  00:22:38.839] PE SPEAKER_02
[ 00:22:38.839 -->  00:22:39.042] PF SPEAKER_01
[ 00:22:39.042 -->  00:22:43.784] PG SPEAKER_02
[ 00:22:44.239 -->  00:22:50.466] PH SPEAKER_02
[ 00:22:50.820 -->  00:22:54.719] PJ SPEAKER_02
[ 00:22:55.073 -->  00:22:57.419] PK SPEAKER_02
[ 00:22:57.807 -->  00:22:59.410] PL SPEAKER_02
[ 00:22:57.874 -->  00:22:58.347] PM SPEAKER_01
[ 00:22:59.410 -->  00:23:04.776] PN SPEAKER_01
[ 00:23:05.991 -->  00:23:08.033] PO SPEAKER_01
[ 00:23:08.303 -->  00:23:11.070] PP SPEAKER_01
[ 00:23:12.184 -->  00:23:23.035] PR SPEAKER_01
[ 00:23:23.389 -->  00:23:28.249] PV SPEAKER_01
[ 00:23:29.717 -->  00:23:41.715] PW SPEAKER_01
[ 00:23:42.576 -->  00:23:43.707] PX SPEAKER_01
[ 00:23:44.905 -->  00:23:45.360] PY SPEAKER_01
[ 00:23:45.360 -->  00:23:48.465] PZ SPEAKER_02
[ 00:23:48.600 -->  00:23:55.030] QA SPEAKER_02
[ 00:23:55.266 -->  00:23:57.055] QB SPEAKER_02
[ 00:23:57.291 -->  00:23:58.422] QC SPEAKER_02
[ 00:23:58.877 -->  00:24:03.467] QD SPEAKER_02
[ 00:24:03.906 -->  00:24:06.353] QE SPEAKER_02
[ 00:24:06.387 -->  00:24:07.146] QF SPEAKER_02
[ 00:24:07.703 -->  00:24:09.036] QG SPEAKER_02
[ 00:24:08.445 -->  00:24:08.665] QH SPEAKER_01
[ 00:24:09.627 -->  00:24:10.673] QI SPEAKER_02
[ 00:24:10.217 -->  00:24:10.352] QJ SPEAKER_01
[ 00:24:10.673 -->  00:24:10.690] QK SPEAKER_01
[ 00:24:10.690 -->  00:24:10.977] QL SPEAKER_02
[ 00:24:10.977 -->  00:24:10.994] QM SPEAKER_01
[ 00:24:11.129 -->  00:24:12.428] QN SPEAKER_02
[ 00:24:12.732 -->  00:24:15.027] QO SPEAKER_01
[ 00:24:13.862 -->  00:24:14.487] QP SPEAKER_02
[ 00:24:16.157 -->  00:24:20.528] QQ SPEAKER_01
[ 00:24:20.714 -->  00:24:22.840] QR SPEAKER_01
[ 00:24:23.700 -->  00:24:27.970] QT SPEAKER_01
[ 00:24:28.037 -->  00:24:28.223] QV SPEAKER_01
[ 00:24:28.594 -->  00:24:30.400] QW SPEAKER_01
[ 00:24:30.855 -->  00:24:32.442] QX SPEAKER_01
